text_field,count,mean,std,min,25%,50%,75%,max
eligibility_criteria_length,60337.0,1469.8067520758407,1743.8157757831589,0.0,457.0,848.0,1747.0,19984.0
inclusion_criteria_length,60337.0,636.3337421482672,853.8252949647957,0.0,183.0,353.0,716.0,14644.0
exclusion_criteria_length,60337.0,795.0630956129738,1114.686095886484,0.0,165.0,394.0,936.0,16629.0
