source_condition_query,number_of_trials,trials_with_eligibility,avg_eligibility_length,avg_inclusion_length,avg_exclusion_length,percentage_of_trials
breast cancer,16301,16300,2074.610944113858,1070.5707625299062,965.3853751303601,27.02
type 2 diabetes,11467,11467,1372.859073864132,464.92622307491064,870.0848521845295,19.0
covid-19,10153,10151,1251.9396237565252,501.1411405495912,712.4426277947405,16.83
anxiety,9286,9286,859.4182640534137,350.7320697824682,469.9899849235408,15.39
chronic obstructive pulmonary disease,6181,6174,1408.9301083966996,538.613331176185,831.6850024267918,10.24
rheumatoid arthritis,3637,3636,1575.1539730547154,638.9950508660984,897.9436348638989,6.03
glaucoma,2173,2173,1035.9466175793834,389.9217671421997,608.4321214910262,3.6
sickle cell anemia,1139,1139,1530.1817383669886,672.7901668129939,817.7050043898156,1.89
